content,score
verifikasi akun google kenapa ga muncul sih otpnya,1
saldo minimal berapa tolol kemaren bisa minimal 0 sekarang minimal kaga jelas dongo,1
bagus aplikasiy cepet transaksi y,5
"Ribet ambil tunai tanpa kartu aja harus ada otp segala ke sms, kadang nda masuk kodenya ngga seperti bank lain tinggal masukin kode langsung bisa",3
cepat dan simple,5
aplikasi yang sangat sangat bagusss,5
Bagus dan sangat membantu aplikasinya,5
pelayanannya baik dlm melayani nasabah...terus dipertahankan..,5
sangat puas dengan pelayanannya lebih mudah,5
kenapa word BNI selalu pengembangan kalau mau transper selalu gagal,1
"aplikasi apaan, error error error error.verifikasih wajah bermasalah terus,mau telanjang sto baru ke baca",1
aplikasi asu. sdh di ikuti Padua layar tpi di suruh coba lagi,1
selalu ada aja kendala.. untuk keadaan darurat sepertinya wondr gk bisa diandalkan,1
masih lemot untuk membuka fitur,4
mantap cepat transaksinya,5
lebih gampang pake nya dan mantap,5
sangat mudah dan cepat,5
sangat membantu dalam bertransaksi,5
wondre s angat bagus transaksi kapan saja di mana saja dan kapan saja.,5
trx jadi lebih mudah dan cepat,5
suka dengan tampilan baru ini.. 👍,5
sudah mengikuti perintah verifikasi wajah tapi tetap ga bisa login dan harus menunggu sampai besok baru bisa diulang,1
aplikasi GAK BERGUNA!! sudah registrasi di bank langsung Besok harinya tidak bisa login lagi. dan harus daftar ulang. itupun setiap verif wajah tidak pernah bisa!!!!,1
payah.... transfer antar rek lain via wondr tidak bisa🥴perbaikan terus.... payah👎,1
transaksi cepat dan akurat,5
"Proses pengaduan transfel berhasil tp saldo belum masuk, Udah di minta utk prioritas karna ada keperluan penting, Seharusnya ada prioritas dari bank tsb tks",1
"tampilan sangat menarik dan lebih simple dari BNI Mobile banking sebelumnya..banyak fitur baru dan promo menarik dari rejeki Wondr BNI, smoga terus berkembang.",5
butuh durasi yg lama buat membuka apk nya min. Kenapa bisa seperti ini min? tolong perbaikan sistem apk nya biar bisa lebih d percepat ngebuka apk nya min🙏,1
sangat memudahkan dalam bertransaksi kerja bagus Bank BNI👍🥰,5
"aplikasinya bagus, Cepat dan mudah dalam melakukan transakai",5
gak ada night mode nya jadi terlalu terang (cerah),4
"semua serba lama. transaksi lama log in aplikasi lama, tolong perbaiki lagi",1
wondr by BNI sangat mudah & praktis digunakan. untuk bertransaksi cepat akurat & aman. trimakasih.,5
email ga respon call center ga mau tersambung,1
aplikasinya bagus dan mudah di gunakan,5
"Aplikasi yang sangat gampang digunakan, mudah di mengerti dan tentunya aman terkendali. Keren BNI",5
sangat terbantu dan tidak repot ke ATM tinggal klik,5
"Udah beberapa kali install, terus mau login ko selalu berhenti.",5
kenapa verifikasi wajah di persulit gtu nunggu besok besok udah 2 hari ga bisa bisa .. masukin pin udah bner tapi salah .. apa sih maksudnya,1
"aneh suruh pindah ke sini dari bni mobile tapi pas login malah suruh buat rek baru, lah kan udah ada rekening lama ngapain harus bikin baru .. lawak",1
saya beli pulsa di Wondr 100.000 gagal dan ke potong saldo sampai skrg. Tolong admin perbaiki sistemnya. Terimakasih,1
"Sangat memudahkan dalam bertransaksi ,,,bni 🫰",5
transaksi lebih mudah dan cepat 👍🤩,5
"saya transfer uang ke rek lain notif sudah berhasil tapi koq uang tidak masuk ke rek yang dikirim,itu kenapa ya mohon bantuanya. terima kasih🙏",5
sangat cepat dan banyak point nya,5
"menunya banyak, membantu dalam transaksi sehari2...",5
sangat membantu berbagai transaksi..,5
"ngirim uang nya kapan notifikasi email nya masuk nya 2 hari kemudian ,ngga jelas .,kalo begitu gausah pake notifikasi e mail ,percuma ngirim uang 2 hari yang lalu email baru masuk 🤦",1
sangat mudah dan bisa transaksi apapun. mantap wondr by BNI,5
udah 2 bulan gagal terus verifikasi wajah kayak udah oplas aja muka gak terverifikasi,1
"bagus, tapi Jangan sering minta diperbaharui",5
"Kenapa kalau ganti perangkat harus daftar ulang sih? Agak ribet padahal cukup konfirmasi no hape email yg buat login sama password aplikasinya atau pin kartu debit yg didaftarkan.kenapa gak seperti gopay,dana dkk yg kalau ganti perangkat tinggal masukin no hape dan password saja,dan kenapa proses verifikasi wajah sangat njlimet sekali? udah mematuhi perintah dilayar salah terus",1
"sering logout sendiri harus verif dari awal lagi sekarang malah muncul butuh verifikasi tambahan , silahkan datangi kantor cabang terdekat payah",1
Semakin Mudah Bertransaksi,5
cepat dan praktis,5
"kenapa pindah dari BNI mobile banking ke aplikasi wonder by BNI harus buka tabungan baru dulu, padahal no dan email sudah sesuai dengan yang sudah didaftarkan di BNI mobile banking. pindah aja kok ribet gini!!!",1
"tolong kembangkan fitur pengaktifan rekening yang nonaktifkan, agar tidak perlu ke KC lagi",5
pertahankan ya sudah bagus pengembangan nya,5
"ini gimana tadi tak perbarui trus login verifikasi wajah ktp, eh pas masuk lagi kok pasword salah terus yak, ini nge bug apa gimana? apa akun ku kna scam?",1
"ksi bintang 4 aja dulu yah, soalnya pas narik di atm sms (otp)nya gak ada masuk ke hp notifnya, jdi gak bisa narik, klo fitur²nya baguss sy suka mudah dan cepat",4
mohon maaf saya mau tanya kalo di wondr by bni kalo kebanyakan coba paspot atau pin bisa nunggu sampai besok ya kalo lupa pin sama paspot,1
aplikasi saya kenapa fore close terus yaa kalo mau login,3
fitur _fiturnya Belom lengkap..contohnya Stor tunai Tanpa Kartu,4
mantap mudah cepat,5
sangat mudah digunakan dan tidak lambat apk ny,5
